id,name,industry,region,annual_revenue,created_date
1,Acme Healthcare,Healthcare,US-West,5000000,2023-01-15
2,TechCorp Solutions,Technology,US-East,12000000,2023-02-20
3,FinanceFirst Bank,Finance,US-East,25000000,2023-03-10
4,MediCare Plus,Healthcare,EU,8000000,2023-04-05
5,DataSystems Inc,Technology,US-West,15000000,2023-05-12
6,Global Insurance Co,Insurance,US-Central,18000000,2023-06-18
7,HealthNet Providers,Healthcare,US-Central,6000000,2023-07-22
8,SmartTech Labs,Technology,EU,9000000,2023-08-14
9,SecureBank Corp,Finance,US-West,20000000,2023-09-08
10,WellCare Solutions,Healthcare,US-East,7500000,2023-10-25
